OBJECTID,StaType,StnType,ZipCode,State,City,Address,Station Name,lon,lat,Code
821,Station Building (with waiting room),TRAIN,32771,FL,Sanford,600 South Persimmon Avenue,Auto Train Station,-81.291274,28.808544,SFA
827,Platform only (no shelter),TRAIN,93063,CA,Simi Valley,5050 Los Angeles Avenue,"Simsbury, CT",-118.695163,34.270204,SIM
828,Station Building (with waiting room),TRAIN,95110,CA,San Jose,65 Cahill Street,San Jose Diridon Station,-121.902388,37.329933,SJC
829,Station Building (with waiting room),TRAIN,49085,MI,St. Joseph,410 1/2 Vine Street,St. Joseph,-86.484484,42.10908,SJM
832,Station Building (with waiting room),TRAIN,95203,CA,Stockton,735 South San Joaquin Street,Stockton,-121.285632,37.945468,SKN
833,Platform with Shelter,TRAIN,95202,CA,Stockton,949 East Channel St.,Robert J. Cabral Station,-121.279,37.957038,SKT
835,Station Building (with waiting room),TRAIN,44870,OH,Sandusky,1200 North Depot Street,"Skykomish, WA",-82.717866,41.440671,SKY
837,Station Building (with waiting room),TRAIN,84101,UT,Salt Lake City,340 South 600 West,Salt Lake City Union Station,-111.908349,40.761661,SLC
841,Station Building (with waiting room),TRAIN,97301,OR,Salem,500 13th Street SE,Salem,-123.028331,44.932331,SLM
842,Station Building (with waiting room),TRAIN,93401,CA,San Luis Obispo,1011 Railroad Avenue,San Luis Obispo,-120.654701,35.276434,SLO
844,Station Building (with waiting room),TRAIN,J4P 2G5,QC,St-Lambert,329 avenue St-Denis,"Seligman, AZ",-73.507287,45.498896,SLQ
848,Platform with Shelter,TRAIN,78666,TX,San Marcos,338 South Guadalupe Street,"Santa Monica, CA",-97.941049,29.876571,SMC
853,Platform with Shelter,TRAIN,60501,IL,Summit,Archer Avenue and South Center Avenue,Summit,-87.809742,41.794912,SMT
854,Station Building (with waiting room),TRAIN,92701,CA,Santa Ana,1000 East Santa Ana Boulevard,Santa Ana,-117.856607,33.751629,SNA
855,Station Building (with waiting room),TRAIN,92410,CA,San Bernardino,1170 West Third Street,San Bernardino,-117.310659,34.104112,SNB
856,Station Building (with waiting room),TRAIN,92675,CA,San Juan Capistrano,26701 Verdugo Street,"Schroon Lake, NY",-117.663813,33.501318,SNC
857,Platform only (no shelter),TRAIN,79848,TX,Sanderson,201 West Downie Street,"Sandpoint, ID",-102.398746,30.139951,SND
858,Platform only (no shelter),TRAIN,92672,CA,San Clemente,615 Avenida Victoria,"San Pedro, CA",-117.619733,33.419645,SNP
860,Station Building (with waiting room),TRAIN,93901,CA,Salinas,11 Station Place,Salinas,-121.656745,36.679145,SNS
862,Station Building (with waiting room),TRAIN,46628,IN,South Bend,2702 West Washington Street,"South Bend, IN",-86.287345,41.67836,SOB
863,Station Building (with waiting room),TRAIN,92075,CA,Solana Beach,105 North Cedros Avenue,"Solana Beach, CA",-117.271135,32.992937,SOL
864,Station Building (with waiting room),TRAIN,28387,NC,Southern Pines,235 Northwest Broad Street,"Southern Pines, NC",-79.390303,35.175069,SOP
867,Station Building (with waiting room),TRAIN,29303,SC,Spartanburg,290 Magnolia Street,Spartanburg,-81.936917,34.953736,SPB
869,Station Building (with waiting room),TRAIN,1103,MA,Springfield,55 Frank B. Murray Street,Springfield Union Station,-72.592905,42.105987,SPG
870,Station Building (with waiting room),TRAIN,62701,IL,Springfield,100 North Third Street,Springfield,-89.651384,39.802323,SPI
871,Station Building (with waiting room),TRAIN,99201,WA,Spokane,221 West 1st Avenue,Spokane,-117.415455,47.65672,SPK
872,Station Building (with waiting room),TRAIN,56479,MN,Staples,First Avenue N.E. and Fourth Street N.E.,"Spokane, WA",-94.795331,46.354601,SPL
873,Platform with Shelter,TRAIN,41174,KY,South Shore,Main Street & US 23,"Springfield, MA",-82.963751,38.721281,SPM
875,Platform with Shelter,TRAIN,83864,ID,Sandpoint,450 Railroad Depot Rd,Sandpoint,-116.32462,48.16358,SPT
885,Station Building (with waiting room),TRAIN,27576,NC,Selma,500 East Railroad Street,"St. Simons Island, GA",-78.280099,35.532786,SSM
887,Station Building (with waiting room),TRAIN,24401,VA,Staunton,1 Middlebrook Avenue,"Staunton, VA",-79.071776,38.147639,STA
891,Station Building (with waiting room),TRAIN,63103,MO,St. Louis,430 South 15th Street,Gateway Station,-90.203973,38.624195,STL
892,Station Building (with waiting room),TRAIN,6902,CT,Stamford,Washington Blvd and South State Street,"Stamford, CT",-73.54216,41.04713,STM
893,Station Building (with waiting room),TRAIN,58784,ND,Stanley,Main Street & Railroad Avenue,Stamford,-102.389379,48.319813,STN
896,Station Building (with waiting room),TRAIN,6519,CT,New Haven,259 State Street,State Street Station,-72.922086,41.305253,STS
